node_id,date,consumption_kwh,day_of_week,day_of_year
house_1,2026-03-16,13.6,0,75
house_1,2026-03-17,17.4,1,76
house_1,2026-03-18,17.01,2,77
house_1,2026-03-19,15.33,3,78
house_1,2026-03-20,13.53,4,79
house_1,2026-03-21,10.71,5,80
house_1,2026-03-22,12.21,6,81
house_1,2026-03-23,14.16,0,82
house_1,2026-03-24,16.56,1,83
house_1,2026-03-25,15.58,2,84
house_1,2026-03-26,14.3,3,85
house_1,2026-03-27,12.82,4,86
house_1,2026-03-28,12.86,5,87
house_1,2026-03-29,13.09,6,88
house_1,2026-03-30,14.4,0,89
house_1,2026-03-31,17.09,1,90
house_2,2026-01-01,18.7,3,1
house_2,2026-01-02,17.57,4,2
house_2,2026-01-03,15.05,5,3
house_2,2026-01-04,16.22,6,4
house_2,2026-01-05,18.5,0,5
house_2,2026-01-06,19.85,1,6
house_2,2026-01-07,22.06,2,7
house_2,2026-01-08,20.7,3,8
house_2,2026-01-09,18.22,4,9
house_2,2026-01-10,16.53,5,10
house_2,2026-01-11,15.88,6,11
house_2,2026-01-12,18.6,0,12
house_2,2026-01-13,20.46,1,13
house_2,2026-01-14,20.27,2,14
house_2,2026-01-15,19.08,3,15
house_2,2026-01-16,16.95,4,16
house_2,2026-01-17,16.48,5,17
house_2,2026-01-18,15.17,6,18
house_2,2026-01-19,16.99,0,19
house_2,2026-01-20,18.49,1,20
house_2,2026-01-21,17.19,2,21
house_2,2026-01-22,17.29,3,22
house_2,2026-01-23,15.04,4,23
house_2,2026-01-24,15.74,5,24
house_2,2026-01-25,14.02,6,25
house_2,2026-01-26,16.66,0,26
house_2,2026-01-27,18.65,1,27
house_2,2026-01-28,18.45,2,28
house_2,2026-01-29,19.39,3,29
house_2,2026-01-30,17.14,4,30
house_2,2026-01-31,16.14,5,31
house_2,2026-02-01,15.54,6,32
house_2,2026-02-02,19.97,0,33
house_2,2026-02-03,19.9,1,34
house_2,2026-02-04,22.44,2,35
house_2,2026-02-05,22.65,3,36
house_2,2026-02-06,17.76,4,37
house_2,2026-02-07,16.81,5,38
house_2,2026-02-08,17.92,6,39
house_2,2026-02-09,19.38,0,40
house_2,2026-02-10,20.38,1,41
house_2,2026-02-11,22.11,2,42
house_2,2026-02-12,19.45,3,43
house_2,2026-02-13,18.21,4,44
house_2,2026-02-14,15.25,5,45
house_2,2026-02-15,17.57,6,46
house_2,2026-02-16,17.23,0,47
house_2,2026-02-17,19.35,1,48
house_2,2026-02-18,20.55,2,49
house_2,2026-02-19,17.1,3,50
house_2,2026-02-20,15.9,4,51
house_2,2026-02-21,15.29,5,52
house_2,2026-02-22,13.19,6,53
house_2,2026-02-23,16.83,0,54
house_2,2026-02-24,19.03,1,55
house_2,2026-02-25,20.16,2,56
house_2,2026-02-26,17.21,3,57
house_2,2026-02-27,15.15,4,58
house_2,2026-02-28,15.68,5,59
house_2,2026-03-01,16.35,6,60
house_2,2026-03-02,18.74,0,61
house_2,2026-03-03,21.26,1,62
house_2,2026-03-04,21.23,2,63
house_2,2026-03-05,20.94,3,64
house_2,2026-03-06,19.01,4,65
house_2,2026-03-07,16.95,5,66
house_2,2026-03-08,19.87,6,67
house_2,2026-03-09,20.8,0,68
house_2,2026-03-10,21.41,1,69
house_2,2026-03-11,23.47,2,70
house_2,2026-03-12,20.5,3,71
house_2,2026-03-13,19.57,4,72
house_2,2026-03-14,18.22,5,73
house_2,2026-03-15,16.7,6,74
house_2,2026-03-16,19.97,0,75
house_2,2026-03-17,21.2,1,76
house_2,2026-03-18,21.71,2,77
house_2,2026-03-19,20.91,3,78
house_2,2026-03-20,16.46,4,79
house_2,2026-03-21,14.34,5,80
house_2,2026-03-22,14.53,6,81
house_2,2026-03-23,16.52,0,82
house_2,2026-03-24,19.15,1,83
house_2,2026-03-25,20.04,2,84
house_2,2026-03-26,18.66,3,85
house_2,2026-03-27,17.03,4,86
house_2,2026-03-28,15.14,5,87
house_2,2026-03-29,17.19,6,88
house_2,2026-03-30,18.07,0,89
house_2,2026-03-31,23.09,1,90
house_3,2026-01-01,10.02,3,1
house_3,2026-01-02,8.36,4,2
house_3,2026-01-03,7.71,5,3
house_3,2026-01-04,8.86,6,4
house_3,2026-01-05,9.76,0,5
house_3,2026-01-06,11.38,1,6
house_3,2026-01-07,11.62,2,7
house_3,2026-01-08,10.68,3,8
house_3,2026-01-09,9.14,4,9
house_3,2026-01-10,8.07,5,10
house_3,2026-01-11,8.75,6,11
house_3,2026-01-12,10.31,0,12
house_3,2026-01-13,10.96,1,13
house_3,2026-01-14,10.4,2,14
house_3,2026-01-15,10.14,3,15
house_3,2026-01-16,8.86,4,16
house_3,2026-01-17,7.36,5,17
house_3,2026-01-18,7.92,6,18
house_3,2026-01-19,8.8,0,19
house_3,2026-01-20,9.19,1,20
house_3,2026-01-21,10.03,2,21
house_3,2026-01-22,9.32,3,22
house_3,2026-01-23,8.34,4,23
house_3,2026-01-24,7.59,5,24
house_3,2026-01-25,6.79,6,25
house_3,2026-01-26,8.15,0,26
house_3,2026-01-27,10.01,1,27
house_3,2026-01-28,10.42,2,28
house_3,2026-01-29,9.86,3,29
house_3,2026-01-30,10.38,4,30
house_3,2026-01-31,8.34,5,31
house_3,2026-02-01,9.06,6,32
house_3,2026-02-02,10.24,0,33
house_3,2026-02-03,11.35,1,34
house_3,2026-02-04,11.33,2,35
house_3,2026-02-05,11.2,3,36
house_3,2026-02-06,9.39,4,37
house_3,2026-02-07,8.95,5,38
house_3,2026-02-08,9.11,6,39
house_3,2026-02-09,10.41,0,40
house_3,2026-02-10,12.43,1,41
house_3,2026-02-11,10.68,2,42
house_3,2026-02-12,10.97,3,43
house_3,2026-02-13,8.58,4,44
house_3,2026-02-14,8.18,5,45
house_3,2026-02-15,8.98,6,46
house_3,2026-02-16,9.4,0,47
house_3,2026-02-17,9.78,1,48
house_3,2026-02-18,10.05,2,49
house_3,2026-02-19,9.82,3,50
house_3,2026-02-20,7.88,4,51
house_3,2026-02-21,7.5,5,52
house_3,2026-02-22,7.66,6,53
house_3,2026-02-23,8.42,0,54
house_3,2026-02-24,10.82,1,55
house_3,2026-02-25,10.48,2,56
house_3,2026-02-26,8.65,3,57
house_3,2026-02-27,8.62,4,58
house_3,2026-02-28,7.66,5,59
house_3,2026-03-01,8.81,6,60
house_3,2026-03-02,9.33,0,61
house_3,2026-03-03,10.91,1,62
house_3,2026-03-04,11.65,2,63
house_3,2026-03-05,11.25,3,64
house_3,2026-03-06,9.26,4,65
house_3,2026-03-07,9.04,5,66
house_3,2026-03-08,9.33,6,67
house_3,2026-03-09,10.37,0,68
house_3,2026-03-10,12.55,1,69
house_3,2026-03-11,12.17,2,70
house_3,2026-03-12,10.59,3,71
house_3,2026-03-13,10.3,4,72
house_3,2026-03-14,9.97,5,73
house_3,2026-03-15,9.58,6,74
house_3,2026-03-16,9.32,0,75
house_3,2026-03-17,10.68,1,76
house_3,2026-03-18,11.56,2,77
house_3,2026-03-19,9.75,3,78
house_3,2026-03-20,8.93,4,79
house_3,2026-03-21,8.2,5,80
house_3,2026-03-22,7.59,6,81
house_3,2026-03-23,8.99,0,82
house_3,2026-03-24,8.57,1,83
house_3,2026-03-25,9.86,2,84
house_3,2026-03-26,9.52,3,85
house_3,2026-03-27,7.96,4,86
house_3,2026-03-28,8.66,5,87
house_3,2026-03-29,7.68,6,88
house_3,2026-03-30,9.37,0,89
house_3,2026-03-31,10.9,1,90
house_4,2026-01-01,13.41,3,1
house_4,2026-01-02,10.43,4,2
house_4,2026-01-03,11.26,5,3
house_4,2026-01-04,11.14,6,4
house_4,2026-01-05,12.14,0,5
house_4,2026-01-06,14.53,1,6
house_4,2026-01-07,14.82,2,7
house_4,2026-01-08,13.46,3,8
house_4,2026-01-09,12.33,4,9
house_4,2026-01-10,11.07,5,10
house_4,2026-01-11,11.61,6,11
house_4,2026-01-12,13.19,0,12
house_4,2026-01-13,14.94,1,13
house_4,2026-01-14,13.42,2,14
house_4,2026-01-15,14.23,3,15
house_4,2026-01-16,10.05,4,16
house_4,2026-01-17,9.92,5,17
house_4,2026-01-18,10.48,6,18
house_4,2026-01-19,11.48,0,19
house_4,2026-01-20,12.15,1,20
house_4,2026-01-21,12.61,2,21
house_4,2026-01-22,11.39,3,22
house_4,2026-01-23,9.76,4,23
house_4,2026-01-24,9.67,5,24
house_4,2026-01-25,9.78,6,25
house_4,2026-01-26,10.66,0,26
house_4,2026-01-27,13.13,1,27
house_4,2026-01-28,13.32,2,28
house_4,2026-01-29,12.89,3,29
house_4,2026-01-30,11.49,4,30
house_4,2026-01-31,9.93,5,31
house_4,2026-02-01,10.69,6,32
house_4,2026-02-02,13.09,0,33
house_4,2026-02-03,14.62,1,34
house_4,2026-02-04,14.78,2,35
house_4,2026-02-05,14.06,3,36
house_4,2026-02-06,13.32,4,37
house_4,2026-02-07,11.33,5,38
house_4,2026-02-08,12.35,6,39
house_4,2026-02-09,13.25,0,40
house_4,2026-02-10,14.54,1,41
house_4,2026-02-11,15.52,2,42
house_4,2026-02-12,14.23,3,43
house_4,2026-02-13,12.49,4,44
house_4,2026-02-14,11.6,5,45
house_4,2026-02-15,10.95,6,46
house_4,2026-02-16,12.49,0,47
house_4,2026-02-17,13.07,1,48
house_4,2026-02-18,13.58,2,49
house_4,2026-02-19,12.18,3,50
house_4,2026-02-20,10.65,4,51
house_4,2026-02-21,9.9,5,52
house_4,2026-02-22,9.37,6,53
house_4,2026-02-23,12.48,0,54
house_4,2026-02-24,12.1,1,55
house_4,2026-02-25,12.43,2,56
house_4,2026-02-26,13.02,3,57
house_4,2026-02-27,11.47,4,58
house_4,2026-02-28,10.64,5,59
house_4,2026-03-01,11.23,6,60
house_4,2026-03-02,12.49,0,61
house_4,2026-03-03,13.61,1,62
house_4,2026-03-04,14.77,2,63
house_4,2026-03-05,13.59,3,64
house_4,2026-03-06,13.23,4,65
house_4,2026-03-07,11.77,5,66
house_4,2026-03-08,11.82,6,67
house_4,2026-03-09,13.56,0,68
house_4,2026-03-10,15.39,1,69
house_4,2026-03-11,15.12,2,70
house_4,2026-03-12,13.92,3,71
house_4,2026-03-13,12.88,4,72
house_4,2026-03-14,11.75,5,73
house_4,2026-03-15,11.45,6,74
house_4,2026-03-16,12.63,0,75
house_4,2026-03-17,14.19,1,76
house_4,2026-03-18,13.31,2,77
house_4,2026-03-19,12.16,3,78
house_4,2026-03-20,10.83,4,79
house_4,2026-03-21,10.0,5,80
house_4,2026-03-22,10.51,6,81
house_4,2026-03-23,12.49,0,82
house_4,2026-03-24,13.47,1,83
house_4,2026-03-25,13.23,2,84
house_4,2026-03-26,12.42,3,85
house_4,2026-03-27,10.41,4,86
house_4,2026-03-28,10.19,5,87
house_4,2026-03-29,10.57,6,88
house_4,2026-03-30,12.54,0,89
house_4,2026-03-31,13.49,1,90
house_5,2026-01-01,9.45,3,1
house_5,2026-01-02,8.95,4,2
house_5,2026-01-03,7.72,5,3
house_5,2026-01-04,8.35,6,4
house_5,2026-01-05,9.64,0,5
house_5,2026-01-06,10.29,1,6
house_5,2026-01-07,10.9,2,7
house_5,2026-01-08,10.15,3,8
house_5,2026-01-09,9.07,4,9
house_5,2026-01-10,7.96,5,10
house_5,2026-01-11,8.49,6,11
house_5,2026-01-12,9.61,0,12
house_5,2026-01-13,10.92,1,13
house_5,2026-01-14,10.81,2,14
house_5,2026-01-15,10.46,3,15
house_5,2026-01-16,7.89,4,16
house_5,2026-01-17,7.73,5,17
house_5,2026-01-18,7.52,6,18
house_5,2026-01-19,9.25,0,19
house_5,2026-01-20,8.85,1,20
house_5,2026-01-21,8.99,2,21
house_5,2026-01-22,8.32,3,22
house_5,2026-01-23,6.51,4,23
house_5,2026-01-24,6.5,5,24
house_5,2026-01-25,6.7,6,25
house_5,2026-01-26,8.19,0,26
house_5,2026-01-27,9.4,1,27
house_5,2026-01-28,10.46,2,28
house_5,2026-01-29,9.53,3,29
house_5,2026-01-30,7.92,4,30
house_5,2026-01-31,7.26,5,31
house_5,2026-02-01,8.31,6,32
house_5,2026-02-02,8.72,0,33
house_5,2026-02-03,11.26,1,34
house_5,2026-02-04,11.37,2,35
house_5,2026-02-05,10.07,3,36
house_5,2026-02-06,8.49,4,37
house_5,2026-02-07,9.16,5,38
house_5,2026-02-08,8.78,6,39
house_5,2026-02-09,10.36,0,40
house_5,2026-02-10,10.08,1,41
house_5,2026-02-11,10.67,2,42
house_5,2026-02-12,10.1,3,43
house_5,2026-02-13,8.84,4,44
house_5,2026-02-14,7.76,5,45
house_5,2026-02-15,8.3,6,46
house_5,2026-02-16,8.42,0,47
house_5,2026-02-17,9.67,1,48
house_5,2026-02-18,9.88,2,49
house_5,2026-02-19,9.23,3,50
house_5,2026-02-20,8.09,4,51
house_5,2026-02-21,6.52,5,52
house_5,2026-02-22,6.57,6,53
house_5,2026-02-23,8.81,0,54
house_5,2026-02-24,9.46,1,55
house_5,2026-02-25,9.33,2,56
house_5,2026-02-26,9.74,3,57
house_5,2026-02-27,8.13,4,58
house_5,2026-02-28,8.05,5,59
house_5,2026-03-01,8.0,6,60
house_5,2026-03-02,10.07,0,61
house_5,2026-03-03,11.14,1,62
house_5,2026-03-04,10.71,2,63
house_5,2026-03-05,10.7,3,64
house_5,2026-03-06,9.57,4,65
house_5,2026-03-07,9.3,5,66
house_5,2026-03-08,8.62,6,67
house_5,2026-03-09,10.4,0,68
house_5,2026-03-10,11.58,1,69
house_5,2026-03-11,10.59,2,70
house_5,2026-03-12,10.07,3,71
house_5,2026-03-13,8.47,4,72
house_5,2026-03-14,8.41,5,73
house_5,2026-03-15,8.94,6,74
house_5,2026-03-16,10.13,0,75
house_5,2026-03-17,10.36,1,76
house_5,2026-03-18,11.11,2,77
house_5,2026-03-19,8.94,3,78
house_5,2026-03-20,7.53,4,79
house_5,2026-03-21,7.41,5,80
house_5,2026-03-22,7.75,6,81
house_5,2026-03-23,8.52,0,82
house_5,2026-03-24,8.63,1,83
house_5,2026-03-25,9.75,2,84
house_5,2026-03-26,8.56,3,85
house_5,2026-03-27,8.37,4,86
house_5,2026-03-28,7.65,5,87
house_5,2026-03-29,7.48,6,88
house_5,2026-03-30,8.85,0,89
house_5,2026-03-31,9.81,1,90
house_6,2026-01-01,9.37,3,1
house_6,2026-01-02,8.86,4,2
house_6,2026-01-03,7.48,5,3
house_6,2026-01-04,8.56,6,4
house_6,2026-01-05,9.28,0,5
house_6,2026-01-06,10.32,1,6
house_6,2026-01-07,10.96,2,7
house_6,2026-01-08,9.88,3,8
house_6,2026-01-09,8.95,4,9
house_6,2026-01-10,7.92,5,10
house_6,2026-01-11,9.51,6,11
house_6,2026-01-12,9.59,0,12
house_6,2026-01-13,10.18,1,13
house_6,2026-01-14,10.68,2,14
house_6,2026-01-15,9.66,3,15
house_6,2026-01-16,8.28,4,16
house_6,2026-01-17,7.76,5,17
house_6,2026-01-18,7.91,6,18
house_6,2026-01-19,8.23,0,19
house_6,2026-01-20,9.12,1,20
house_6,2026-01-21,9.41,2,21
house_6,2026-01-22,7.73,3,22
house_6,2026-01-23,6.9,4,23
house_6,2026-01-24,7.46,5,24
house_6,2026-01-25,7.89,6,25
house_6,2026-01-26,8.17,0,26
house_6,2026-01-27,9.69,1,27
house_6,2026-01-28,9.97,2,28
house_6,2026-01-29,10.65,3,29
house_6,2026-01-30,8.82,4,30
house_6,2026-01-31,7.74,5,31
house_6,2026-02-01,7.82,6,32
house_6,2026-02-02,8.76,0,33
house_6,2026-02-03,10.76,1,34
house_6,2026-02-04,10.74,2,35
house_6,2026-02-05,9.84,3,36
house_6,2026-02-06,9.12,4,37
house_6,2026-02-07,8.26,5,38
house_6,2026-02-08,9.75,6,39
house_6,2026-02-09,10.4,0,40
house_6,2026-02-10,10.97,1,41
house_6,2026-02-11,11.79,2,42
house_6,2026-02-12,10.32,3,43
house_6,2026-02-13,8.61,4,44
house_6,2026-02-14,8.78,5,45
house_6,2026-02-15,8.42,6,46
house_6,2026-02-16,8.59,0,47
house_6,2026-02-17,9.83,1,48
house_6,2026-02-18,9.63,2,49
house_6,2026-02-19,8.57,3,50
house_6,2026-02-20,8.34,4,51
house_6,2026-02-21,7.99,5,52
house_6,2026-02-22,6.75,6,53
house_6,2026-02-23,8.66,0,54
house_6,2026-02-24,9.21,1,55
house_6,2026-02-25,9.62,2,56
house_6,2026-02-26,8.98,3,57
house_6,2026-02-27,7.85,4,58
house_6,2026-02-28,7.71,5,59
house_6,2026-03-01,7.76,6,60
house_6,2026-03-02,9.47,0,61
house_6,2026-03-03,10.56,1,62
house_6,2026-03-04,10.92,2,63
house_6,2026-03-05,10.07,3,64
house_6,2026-03-06,9.22,4,65
house_6,2026-03-07,9.2,5,66
house_6,2026-03-08,9.43,6,67
house_6,2026-03-09,9.86,0,68
house_6,2026-03-10,11.38,1,69
house_6,2026-03-11,11.89,2,70
house_6,2026-03-12,10.04,3,71
house_6,2026-03-13,9.77,4,72
house_6,2026-03-14,8.4,5,73
house_6,2026-03-15,9.04,6,74
house_6,2026-03-16,9.32,0,75
house_6,2026-03-17,9.72,1,76
house_6,2026-03-18,9.88,2,77
house_6,2026-03-19,9.74,3,78
house_6,2026-03-20,8.53,4,79
house_6,2026-03-21,7.18,5,80
house_6,2026-03-22,8.01,6,81
house_6,2026-03-23,7.97,0,82
house_6,2026-03-24,9.68,1,83
house_6,2026-03-25,9.44,2,84
house_6,2026-03-26,9.01,3,85
house_6,2026-03-27,8.26,4,86
house_6,2026-03-28,7.26,5,87
house_6,2026-03-29,7.87,6,88
house_6,2026-03-30,9.69,0,89
house_6,2026-03-31,10.21,1,90
house_7,2026-01-01,16.71,3,1
house_7,2026-01-02,13.59,4,2
house_7,2026-01-03,13.93,5,3
house_7,2026-01-04,15.34,6,4
house_7,2026-01-05,14.41,0,5
house_7,2026-01-06,17.65,1,6
house_7,2026-01-07,19.26,2,7
house_7,2026-01-08,17.53,3,8
house_7,2026-01-09,16.01,4,9
house_7,2026-01-10,14.0,5,10
house_7,2026-01-11,14.85,6,11
house_7,2026-01-12,16.26,0,12
house_7,2026-01-13,18.81,1,13
house_7,2026-01-14,18.3,2,14
house_7,2026-01-15,16.86,3,15
house_7,2026-01-16,14.03,4,16
house_7,2026-01-17,12.45,5,17
house_7,2026-01-18,12.64,6,18
house_7,2026-01-19,14.78,0,19
house_7,2026-01-20,15.71,1,20
house_7,2026-01-21,16.52,2,21
house_7,2026-01-22,16.52,3,22
house_7,2026-01-23,13.6,4,23
house_7,2026-01-24,11.49,5,24
house_7,2026-01-25,13.16,6,25
house_7,2026-01-26,13.86,0,26
house_7,2026-01-27,14.6,1,27
house_7,2026-01-28,16.06,2,28
house_7,2026-01-29,14.47,3,29
house_7,2026-01-30,13.97,4,30
house_7,2026-01-31,13.35,5,31
house_7,2026-02-01,15.37,6,32
house_7,2026-02-02,16.44,0,33
house_7,2026-02-03,18.08,1,34
house_7,2026-02-04,19.56,2,35
house_7,2026-02-05,16.24,3,36
house_7,2026-02-06,16.27,4,37
house_7,2026-02-07,15.53,5,38
house_7,2026-02-08,14.28,6,39
house_7,2026-02-09,17.98,0,40
house_7,2026-02-10,19.03,1,41
house_7,2026-02-11,18.73,2,42
house_7,2026-02-12,18.08,3,43
house_7,2026-02-13,17.09,4,44
house_7,2026-02-14,14.0,5,45
house_7,2026-02-15,14.19,6,46
house_7,2026-02-16,15.13,0,47
house_7,2026-02-17,16.32,1,48
house_7,2026-02-18,17.77,2,49
house_7,2026-02-19,15.05,3,50
house_7,2026-02-20,13.61,4,51
house_7,2026-02-21,11.86,5,52
house_7,2026-02-22,12.97,6,53
house_7,2026-02-23,14.65,0,54
house_7,2026-02-24,17.03,1,55
house_7,2026-02-25,16.44,2,56
house_7,2026-02-26,15.6,3,57
house_7,2026-02-27,13.35,4,58
house_7,2026-02-28,12.81,5,59
house_7,2026-03-01,14.19,6,60
house_7,2026-03-02,16.57,0,61
house_7,2026-03-03,17.4,1,62
house_7,2026-03-04,19.51,2,63
house_7,2026-03-05,18.94,3,64
house_7,2026-03-06,16.51,4,65
house_7,2026-03-07,16.59,5,66
house_7,2026-03-08,15.17,6,67
house_7,2026-03-09,16.67,0,68
house_7,2026-03-10,18.05,1,69
house_7,2026-03-11,20.91,2,70
house_7,2026-03-12,18.93,3,71
house_7,2026-03-13,16.26,4,72
house_7,2026-03-14,15.07,5,73
house_7,2026-03-15,14.19,6,74
house_7,2026-03-16,18.37,0,75
house_7,2026-03-17,18.09,1,76
house_7,2026-03-18,18.22,2,77
house_7,2026-03-19,17.17,3,78
house_7,2026-03-20,14.77,4,79
house_7,2026-03-21,13.13,5,80
house_7,2026-03-22,12.63,6,81
house_7,2026-03-23,15.24,0,82
house_7,2026-03-24,18.02,1,83
house_7,2026-03-25,18.07,2,84
house_7,2026-03-26,17.11,3,85
house_7,2026-03-27,13.7,4,86
house_7,2026-03-28,12.32,5,87
house_7,2026-03-29,13.66,6,88
house_7,2026-03-30,15.85,0,89
house_7,2026-03-31,18.72,1,90
house_8,2026-01-01,11.29,3,1
house_8,2026-01-02,11.89,4,2
house_8,2026-01-03,10.23,5,3
house_8,2026-01-04,10.63,6,4
house_8,2026-01-05,11.83,0,5
house_8,2026-01-06,12.96,1,6
house_8,2026-01-07,14.83,2,7
house_8,2026-01-08,13.53,3,8
house_8,2026-01-09,11.26,4,9
house_8,2026-01-10,10.28,5,10
house_8,2026-01-11,11.08,6,11
house_8,2026-01-12,13.45,0,12
house_8,2026-01-13,13.53,1,13
house_8,2026-01-14,12.95,2,14
house_8,2026-01-15,12.52,3,15
house_8,2026-01-16,10.78,4,16
house_8,2026-01-17,8.22,5,17
house_8,2026-01-18,9.86,6,18
house_8,2026-01-19,10.91,0,19
house_8,2026-01-20,12.62,1,20
house_8,2026-01-21,13.49,2,21
house_8,2026-01-22,12.05,3,22
house_8,2026-01-23,9.72,4,23
house_8,2026-01-24,8.31,5,24
house_8,2026-01-25,10.82,6,25
house_8,2026-01-26,10.84,0,26
house_8,2026-01-27,12.31,1,27
house_8,2026-01-28,12.81,2,28
house_8,2026-01-29,12.23,3,29
house_8,2026-01-30,10.77,4,30
house_8,2026-01-31,9.84,5,31
house_8,2026-02-01,10.44,6,32
house_8,2026-02-02,12.33,0,33
house_8,2026-02-03,13.6,1,34
house_8,2026-02-04,14.03,2,35
house_8,2026-02-05,13.72,3,36
house_8,2026-02-06,12.12,4,37
house_8,2026-02-07,12.26,5,38
house_8,2026-02-08,10.22,6,39
house_8,2026-02-09,13.68,0,40
house_8,2026-02-10,15.03,1,41
house_8,2026-02-11,13.33,2,42
house_8,2026-02-12,13.22,3,43
house_8,2026-02-13,11.51,4,44
house_8,2026-02-14,9.76,5,45
house_8,2026-02-15,10.23,6,46
house_8,2026-02-16,11.16,0,47
house_8,2026-02-17,13.94,1,48
house_8,2026-02-18,13.61,2,49
house_8,2026-02-19,12.7,3,50
house_8,2026-02-20,10.76,4,51
house_8,2026-02-21,8.67,5,52
house_8,2026-02-22,9.31,6,53
house_8,2026-02-23,11.26,0,54
house_8,2026-02-24,11.68,1,55
house_8,2026-02-25,13.24,2,56
house_8,2026-02-26,11.91,3,57
house_8,2026-02-27,10.53,4,58
house_8,2026-02-28,10.44,5,59
house_8,2026-03-01,10.86,6,60
house_8,2026-03-02,11.99,0,61
house_8,2026-03-03,14.47,1,62
house_8,2026-03-04,13.75,2,63
house_8,2026-03-05,14.02,3,64
house_8,2026-03-06,12.69,4,65
house_8,2026-03-07,11.39,5,66
house_8,2026-03-08,12.2,6,67
house_8,2026-03-09,12.71,0,68
house_8,2026-03-10,15.32,1,69
house_8,2026-03-11,14.98,2,70
house_8,2026-03-12,13.76,3,71
house_8,2026-03-13,13.04,4,72
house_8,2026-03-14,10.93,5,73
house_8,2026-03-15,10.66,6,74
house_8,2026-03-16,11.71,0,75
house_8,2026-03-17,14.07,1,76
house_8,2026-03-18,13.09,2,77
house_8,2026-03-19,13.69,3,78
house_8,2026-03-20,9.78,4,79
house_8,2026-03-21,10.86,5,80
house_8,2026-03-22,10.21,6,81
house_8,2026-03-23,11.29,0,82
house_8,2026-03-24,12.35,1,83
house_8,2026-03-25,13.23,2,84
house_8,2026-03-26,12.11,3,85
house_8,2026-03-27,11.38,4,86
house_8,2026-03-28,10.03,5,87
house_8,2026-03-29,10.57,6,88
house_8,2026-03-30,11.85,0,89
house_8,2026-03-31,13.61,1,90
house_9,2026-01-01,15.71,3,1
house_9,2026-01-02,12.67,4,2
house_9,2026-01-03,12.06,5,3
house_9,2026-01-04,14.28,6,4
house_9,2026-01-05,15.81,0,5
house_9,2026-01-06,17.45,1,6
house_9,2026-01-07,18.15,2,7
house_9,2026-01-08,17.29,3,8
house_9,2026-01-09,14.77,4,9
house_9,2026-01-10,13.36,5,10
house_9,2026-01-11,14.39,6,11
house_9,2026-01-12,15.07,0,12
house_9,2026-01-13,17.58,1,13
house_9,2026-01-14,16.21,2,14
